35001,Comon Reds!!! #LFC #nervous
35002,
35003,#butterflies #nervous #derbyday #LFC #comeonliverpool
35004,Cold feet #nervous
35005,Let’s go Liverpool!!! #nervous
35006,Woke up this morning with a lot on my mind wishing some thoughts could just disappear as easy as it appeared #frustrated #worried
35007,Come on United!! LETS DO THIS!! #nervous
35008,
35009,Totally convinced the guys at the car wash are going to try and kill me...🚘😯 #Scared
35010,#anxiety #nervous
35011,
35012,
35013,Need a big game from all utd players today.#nervous
35014,
35015,
35016,"#Batch96 korang dah ready for #SPMresult , brace yourself, 4 days to go.. #nervous"
35017,Really really hate turbulence! #nervous
35018,Today we learn if @LFC are going for winning  the league or settling for top four #nervous #YNWA #timetobelieve #tengamestogo
35019,
35020,
35021,
35022,
35023,New episode in 4 days YAY !! I can't wait soooo excited &amp; scared to see what's happening next . #NERVOUS
35024,"Away to Monaghan now , MacLarnon final in the morning #nervous"
35025,Fellani hasn't give a ball to a united player yet #panic #poor
35026,I just got punched in the face by something and it's just me in the room. #haunted #ghost #barracks #1217 #campkinser #helpme #scared
35027,Well today we learn the dance😳 #nervous
35028,"Smashed the 5000 word barrier on my assignment, and just another 4000ish to go. Easy peasy! #Panic"
35029,Clattenburg ref'd the league cup game when #mufc won 1-0 and he didn't give #lfc anything in the game #worried
35030,Time do go dance with the team! Go Moose Gangsters! #dance #team #competition #soon #worried #excited
35031,
35032,
35033,Lol at the vicious seagulls in this place #scared
35034,THIS WOULD HAPPEN 😱😱😱 #panic
35035,Clinical's are Thursday &amp; Friday 😭😭😭😭 #nervous
35036,I'm on a damn puddle jumper for a 2 and a half hour flight. #scared
35037,The feeling you get when you don't know how someone feels about you. 😬 #nervous #feels4dayssss
35038,
35039,Worst possible dream ever... 😢 #awful #why #worried
35040,Visiting my friend in recovery today #nervous
35041,I need to dye final fabric today 😳 #nervous
35042,Going snowboarding for the first time in my life! #excited #scared #iloveyouallifanythinghappens
35043,
35044,Had a phone interview for the job I'm after &amp; got an in face coming this week. #nervous
35045,"First day high tomorrow!  Let's go!

#anxious"
35046,My first time bringing out my new phone tonight! Say a prayer for jane that I still hace it and intact in the morning! #nervous
35047,I've never seen Man Divided defend with soo many players back in defence. #scared
35048,College Interview tomorrow morning. #nervous
35049,
35050,
35051,Going to adopt another dog this morning. Layla will have a brother #nervous
35052,How do I show I care with out becoming annoying to you? #talktome #worried #aboutyou
35053,
35054,"Ight. 2 events doe none more to go, ima need prayer for this one guys 😩🙏🙌 #nervous"
35055,Why is that I'm already missing home? I totally have no idea about what's in store for me in the coming days! #nervous #newbeginning
35056,
35057,@BoyceAvenue I still can't believe I'm really gonna see/hear/meet you guys @ParadisoAdam on March 30!! #14days #excited #nervous
35058,
35059,
35060,
35061,
35062,Lovely reply to my email from @WeshamRR now just need to pluck up enough courage to go along! #nervous #new #notsure
35063,This game is too much! #anxious #bouncing #aaah
35064,
35065,
35066,About to get my eyebrow waxed.. never had them done in another country befoee! #SCARED
35067,Get my wisdom teeth out at 7:30 tomorrow morning 😭 #scared #dontwanttobeputtosleep
35068,
35069,
35070,Hate watching games like this!  #LFC #nervous
35071,
35072,@ManUtd seem to have been taking notes from England's playing tactics. #getrid #panic
35073,
35074,
35075,I like actually need some Xanax in my life 😣 #anxious
35076,still thinking about announcement of graduates in the 24 ;( #scared #prayforme
35077,defense on thesis tom :(((( #nervous
35078,Don't dare you sky! Don't you dare to rain! #worried
35079,
35080,
35081,Getting on my cruise ship Today. #Nervous
35082,
35083,"We need Coutinho &amp; Sakho in the 2nd half, Flanagan could see red #worried"
35084,patience is a virtue and right now I don't have any #anxious
35085,
35086,
35087,Packing is starting to make this move seem soo real 😳 #bittersweat#scared
35088,
35089,@brennahelm threatened to hide my hair straightener from me! 😓😓 #scared
35090,"mi primer domingo con mi familia nueva!
#costarica #hostfamily #anxious #fun #wowmoment"
35091,@Atiyyah_ Why am I letting you do this to my face? #scared
35092,In that weird part of Florida #scared
35093,
