45002,"Watching a box set/show must have been a much more enjoyable, peaceful thing before social media. #Rage #SpoilerWatch #FirstWorldProblems"
45003,
45004,And now begins the hell that is 'fresh tattoo itch' #hate
45005,
45006,
45007,I do not &amp; will not recommend Eye Specialists in Hays to ANYONE!! #irritated #misswichita
45008,
45009,Ready to get this test over with #annoyed
45010,
45011,"I swear facebook annoys the shit out of me
why isn't fabolous not verified on facebook when other celebrities below him are #annoyed"
45012,
45013,Called Animal Control this morning...maybe next time the neighbor will actually put a leash on his dog! #annoyed
45014,
45015,So over it....#tired #mad #why
45016,
45017,What a fucking day it is... Trains are late today as well #irritated
45018,
45019,
45020,Someone thinks it's funny to replace the pots I smash. I. HATE. POTS. #seriouslythough #HATE
45021,"Since we're learning about the mind today, can you tell me why mine can't focus in your class? #hateit"
45022,Some people geez!!!! #mad #pissed #seriously #comeon
45023,
45024,I think the greatest challenge of getting a degree is surviving all the group work #hateit
45025,
45026,"Things said by my physiology prof:essentially,  uhm, sorry,excuse me #annoyed"
45027,
45028,really appreciate being stalked by our pikey neighbour and him knocking down our door at 5am ffs #annoyed #onamissiontoevictnow
45029,@ArvindKejriwal Please go back to where ppl voted for you. #Mumbai has too many Item Girls already. #AAPChaos #ItemGirlKejriwal #annoyed
45030,
45031,
45032,
45033,Why do people drive so slow when it's just drizzling outside? #annoyed
45034,
45035,Winter will be the death of me #snow #goaway #annoyed
45036,
45037,
45038,Stop slurping your freaking cereal!  #annoyed
45039,
45040,9 am start time for work sucks! #longday #annoyed
45041,
45042,"havent wore jeans in 3 weeks 
#feelsweirdaf #hateit"
45043,That moment when you wake up for an 8:30 test only to find out your professor is emailing it later. #irritated #sleepy
45044,People at the axiom in the village. LEARN GYM ETIQUETTE! Get off the track with your ab workouts so others can push the sled. #annoyed
45045,
45046,"Well now that @Arsenal is out of Champions League, I'll supporting every team who is playing against Man Utd, Chelsea and Man City. #angry"
45047,Finishing and submitting an assignment is actually the best feeling in the world #hate #student #life
45048,This weather is xoxoxo unfriendly.#2muchheat #hateit
45049,The one day I've finished my regular work early and could catch up on other stuff the computers have crashed. #annoyed
45050,
